time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-10-17T21:03:12.017Z,38.0438,74.4948,190.19,4.1,mb,,108,3.245,0.72,us,us6000fvi0,2021-10-19T04:10:15.040Z,"48 km ESE of Murghob, Tajikistan",earthquake,8.1,12.9,0.175,9,reviewed,us,us
2021-10-17T20:37:02.044Z,79.5194,4.317,10,4.7,mb,,49,1.557,1.13,us,us6000fvhw,2021-10-17T20:58:48.040Z,"283 km WNW of Longyearbyen, Svalbard and Jan Mayen",earthquake,3.8,1.9,0.058,89,reviewed,us,us
2021-10-17T20:13:29.706Z,41.781,19.6552,10,4.4,mb,,36,0.46,1.12,us,us6000fvhn,2021-10-18T04:42:30.748Z,"1 km ESE of Lezhë, Albania",earthquake,5.8,1.9,0.134,17,reviewed,us,us
2021-10-17T20:11:58.726Z,36.1397,70.7078,93.18,4.5,mb,,83,0.989,0.83,us,us6000fvhr,2021-10-17T20:32:06.040Z,"81 km S of Jurm, Afghanistan",earthquake,7,5.8,0.097,31,reviewed,us,us
2021-10-17T19:32:23.192Z,55.0572,-157.5412,19.3,3.1,ml,,,,0.76,ak,ak021dbxcts3,2021-10-18T13:10:25.040Z,"138 km SE of Perryville, Alaska",earthquake,,5.8,,,reviewed,ak,ak
2021-10-17T19:27:11.506Z,55.0355,-157.5925,24.6,4.3,ml,,,,0.51,ak,ak021dbxbor4,2021-10-17T20:49:07.613Z,"138 km SE of Perryville, Alaska",earthquake,,4,,,reviewed,ak,ak
2021-10-17T19:00:11.091Z,31.7083597,-104.0222806,7.725463867,3.4,ml,18,53,0.02499188849,0.2,tx,tx2021ujlz,2021-10-18T18:01:04.744Z,"40 km W of Mentone, Texas",earthquake,0.9046192072,0.6565828555999998,0.2,9,reviewed,tx,tx
2021-10-17T17:50:50.158Z,55.8511,113.3817,10,4.6,mb,,110,7.643,1.11,us,us6000fvgz,2021-10-17T18:35:46.040Z,"33 km S of Severomuysk, Russia",earthquake,10.3,1.9,0.081,45,reviewed,us,us
2021-10-17T17:39:15.124Z,49.2389,155.957,35,5.2,mb,,124,4.026,0.69,us,us6000fvgx,2021-10-17T18:08:56.040Z,"160 km S of Severo-Kuril’sk, Russia",earthquake,10.1,1.9,0.033,303,reviewed,us,us
2021-10-17T16:58:41.337Z,31.71388242,-104.0201538,7.622631836000001,2.9,ml,17,50,0.02046116395,0.2,tx,tx2021ujhz,2021-10-18T17:42:00.534Z,"39 km W of Mentone, Texas",earthquake,0.8289198349,0.5985123968,0.1,9,reviewed,tx,tx
2021-10-17T16:56:42.320Z,-24.0947,-67.1943,187.96,4,mb,,83,1.452,0.74,us,us6000fvge,2021-10-17T19:06:45.040Z,"90 km W of San Antonio de los Cobres, Argentina",earthquake,11.4,15,0.212,7,reviewed,us,us
2021-10-17T16:14:22.609Z,-50.5557,-73.2166,4.97,4.4,mb,,87,0.906,0.84,us,us6000fvg9,2021-10-17T18:52:04.040Z,"70 km WSW of El Calafate, Argentina",earthquake,6.7,4.7,0.134,20,reviewed,us,us
2021-10-17T16:06:45.033Z,59.9996,-140.1691,7.9,2.5,ml,,,,0.91,ak,ak021dbvez08,2021-10-17T18:38:21.040Z,"56 km NNW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-10-17T15:57:37.710Z,18.0065,-66.822,16,2.89,md,13,149,0.2188,0.11,pr,pr2021290010,2021-10-17T18:16:12.541Z,"1 km NNW of Indios, Puerto Rico",earthquake,0.41,0.57,0.23,6,reviewed,pr,pr
2021-10-17T15:57:33.609Z,-14.8556,168.0208,10,4.9,mb,,76,0.984,1.19,us,us6000fvg6,2021-10-17T17:33:13.040Z,"104 km ENE of Port-Olry, Vanuatu",earthquake,6.5,1.9,0.079,54,reviewed,us,us
2021-10-17T15:52:11.040Z,19.1835,-155.482666666667,37.88,3.83,ml,52,76,,0.11,hv,hv72759882,2021-10-18T16:08:26.178Z,"2 km S of Pāhala, Hawaii",earthquake,0.55,0.63,0.212433705174736,41,reviewed,hv,hv
2021-10-17T15:49:31.512Z,41.0043,142.1156,67.67,4.8,mb,,112,0.825,0.34,us,us6000fvg0,2021-10-17T18:50:22.641Z,"70 km ENE of Misawa, Japan",earthquake,8.7,6,0.033,278,reviewed,us,us
2021-10-17T15:17:06.254Z,49.3006,155.9334,57.35,4.5,mb,,134,3.971,0.41,us,us6000fvfy,2021-10-17T16:39:41.040Z,"153 km S of Severo-Kuril’sk, Russia",earthquake,9.6,7,0.065,70,reviewed,us,us
2021-10-17T15:02:11.211Z,-2.041,125.7709,23.48,4.6,mb,,68,3.158,0.71,us,us6000fvfr,2021-10-17T16:04:21.040Z,"Pulau-Pulau Sula, Indonesia",earthquake,7,5.6,0.093,38,reviewed,us,us
2021-10-17T14:13:43.520Z,17.9508,-66.8931,14,2.88,md,22,178,0.1523,0.22,pr,pr2021290009,2021-10-17T15:46:06.830Z,"2 km SE of Guánica, Puerto Rico",earthquake,0.57,0.79,0.25,17,reviewed,pr,pr
2021-10-17T13:19:00.720Z,36.2131667,-117.86,4.19,3.98,mw,43,52,0.09548,0.16,ci,ci39835791,2021-10-18T13:21:53.345Z,"15km ESE of Olancha, CA",earthquake,0.15,0.51,,6,reviewed,ci,ci
2021-10-17T13:04:04.185Z,-26.0345,-71.1404,14.87,4.4,mwr,,141,0.5,0.59,us,us6000fvf1,2021-10-17T13:45:02.040Z,"95 km SW of Taltal, Chile",earthquake,4.1,4,,,reviewed,us,guc
2021-10-17T12:47:09.100Z,18.0116,-68.481,70,3.68,md,17,248,0.5121,0.28,pr,pr2021290008,2021-10-17T13:46:29.489Z,"42 km SSE of Boca de Yuma, Dominican Republic",earthquake,2.79,2.76,0.05,6,reviewed,pr,pr
2021-10-17T12:20:53.888Z,51.6574,16.168,9.8,4.2,mb,,50,2.01,0.57,us,us6000fvet,2021-10-17T16:22:25.670Z,"5 km E of Głogów, Poland",earthquake,6.8,5.8,0.166,10,reviewed,us,us
2021-10-17T12:05:18.385Z,49.2314,155.9782,54.2,5,mb,,117,4.03,0.79,us,us6000fver,2021-10-17T12:24:09.040Z,"160 km S of Severo-Kuril’sk, Russia",earthquake,8.7,5,0.035,265,reviewed,us,us
2021-10-17T09:44:34.220Z,18.8601666666667,-155.5065,34.24,3.01,ml,53,265,,0.13,hv,hv72759627,2021-10-18T22:01:35.652Z,"24 km SSE of Naalehu, Hawaii",earthquake,0.46,0.84,0.14475837389486,25,reviewed,hv,hv
2021-10-17T09:12:39.660Z,17.9228,-66.6903,32,2.87,md,23,175,0.1465,0.24,pr,pr2021290006,2021-10-17T15:35:13.656Z,"8 km SSE of Tallaboa, Puerto Rico",earthquake,0.71,0.62,0.21,20,reviewed,pr,pr
